"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
3,6,2,1,2,2,2,2,30,NA,2,2,2,2,2,1,1,1,17248,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,1,1,1,1,27638,2021
5,1,1,2,2,2,2,2,120,NA,2,1,2,1,1,1,1,1,17744,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,1,1,1,1,1,9120,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,NA,1,1,2,6149,2021
1,4,2,2,2,2,1,2,30,NA,2,2,2,2,2,1,1,1,20448,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,34001,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,1,1,NA,NA,29872,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,2,1,1,1,1,8955,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,31232,2021
2,4,2,2,1,1,2,2,60,NA,1,1,1,1,1,1,1,1,22794,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,2,2,2,2,17401,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,1,1,1,1,2,1,2,1,17592,2021
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,2,2,1,2,1,2,2,15872,2021
3,1,2,1,2,2,2,2,60,NA,1,1,1,1,1,1,1,1,17592,2021
1,1,2,2,1,2,2,2,20,NA,2,1,1,1,1,2,1,1,14834,2021
3,1,1,1,2,2,2,2,120,NA,1,1,1,1,1,1,NA,2,15249,2021
7,1,2,2,2,1,2,2,120,NA,2,1,2,1,1,1,1,1,8819,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,22523,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,2,16497,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,2,27827,2021
2,4,2,2,2,2,1,2,20,NA,2,2,2,1,2,1,1,1,36149,2021
8,2,2,1,2,1,2,2,40,NA,1,1,1,1,1,1,1,1,54710,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,1,1,1,15382,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,1,2,2,17549,2021
1,3,2,2,2,1,2,2,60,NA,2,1,1,1,2,1,1,1,36361,2021
2,4,2,2,2,1,2,2,30,NA,2,2,2,2,2,1,2,2,15115,2021
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,2,2,2,2,9250,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,1,1,1,21870,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,2,2,2,2,17385,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,1,1,1,2,1,1,1,24951,2021
2,2,1,2,2,2,2,2,20,NA,2,2,1,1,1,2,2,2,35872,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,2,1,1,1,1,1,25386,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,2,2,1,1,2,2,25458,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,18716,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,1,1,1,26630,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,9098,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,28487,2021
NA,NA,NA,NA,NA,NA,NA,NA,180,NA,1,1,1,1,1,1,1,1,19831,2021
2,6,2,1,2,2,2,2,20,NA,2,1,2,1,2,1,1,2,19083,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,31440,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,2,2,1,2,13591,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,1,1,1,1,26609,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,1,1,10274,2021
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,1,2,2,1,1,1,1,20491,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,1,1,1,1,1,16583,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,2,1,1,1,14022,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,1,2,17161,2021
6,1,1,1,2,2,2,2,30,NA,1,1,1,1,2,1,1,2,19950,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,2,1,1,1,2,15928,2021
NA,NA,NA,NA,NA,NA,NA,NA,50,NA,2,1,1,2,1,1,1,2,25896,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,2,2,1,1,2,46188,2021
3,1,2,2,2,1,1,2,30,NA,2,1,2,2,2,1,1,2,4554,2021
2,3,2,2,2,1,2,2,45,NA,1,1,1,2,1,1,1,1,9016,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,2,2,1,2,5368,2021
2,4,2,2,2,1,1,2,35,NA,2,1,1,1,1,1,1,2,22540,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,12535,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,1,2,2,6035,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,22274,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,7197,2021
1,4,2,2,2,2,1,2,40,NA,2,1,2,2,2,1,1,2,10202,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,1,1,1,2,1,1,2,2,9824,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,15302,2021
2,4,2,2,2,1,2,2,30,NA,2,1,1,2,1,1,1,2,10112,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,1,1,2,18128,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,2,1,1,1,1,18312,2021
1,4,2,2,2,2,1,2,30,NA,2,1,1,1,1,1,1,1,10513,2021
1,4,2,2,1,2,2,2,40,NA,2,1,1,1,1,1,1,1,9156,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,10222,2021
3,2,2,1,2,2,1,2,60,NA,2,1,1,2,1,1,1,2,19603,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,5468,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,2,2,2,5111,2021
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,1,2,2,2,1,1,1,13638,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,2,1,1,1,27274,2021
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,1,2,2,1,1,2,13638,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,1,1,1,6879,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,16016,2021
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,2,2,2,2,2,1,2,25075,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,2,1,1,1,2,6091,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,12115,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,2,1,1,2,2,13995,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,2,2,1,1,2,11770,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,2,2,11326,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,6856,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,13712,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13339,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,41023,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,2,11194,2021
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,2,2,2,2,1,1,2,6040,2021
4,1,2,1,2,2,1,2,60,NA,1,1,1,2,1,1,1,1,17938,2021
2,4,2,2,2,1,1,2,45,NA,2,1,1,2,1,1,1,1,17938,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,1,1,1,1,27128,2021
2,4,2,2,2,2,1,2,40,NA,NA,2,2,1,1,1,1,1,29005,2021
1,3,2,1,2,2,2,2,100,NA,1,1,1,1,1,1,1,1,6356,2021
10,2,2,1,2,2,2,2,60,NA,1,1,1,1,2,2,2,1,15114,2021
7,3,2,2,1,2,2,2,120,NA,2,2,2,2,1,1,1,1,10435,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218,2021
8,4,2,1,2,2,1,2,30,NA,1,1,1,1,1,1,1,1,23965,2021
8,3,2,1,2,2,2,2,120,NA,2,1,2,1,1,1,1,1,12299,2021
25,4,2,2,2,1,2,2,60,NA,2,2,2,1,2,2,2,2,34353,2021
2,4,2,2,1,2,2,2,120,NA,2,2,2,2,1,1,1,1,23234,2021
2,4,2,2,2,1,2,2,30,NA,2,1,1,1,2,2,2,2,16569,2021
3,2,2,1,2,2,2,2,60,NA,1,1,1,1,2,2,2,2,33735,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,18282,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,1,1,1,1,17592,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,2,1,1,1,1,18282,2021
5,4,2,2,1,1,2,2,120,NA,1,1,2,1,1,1,1,1,17854,2021
3,4,2,2,1,2,2,2,180,NA,2,2,2,2,1,1,1,1,9577,2021
1,4,2,2,2,1,2,2,120,NA,2,2,2,2,1,1,1,1,31300,2021
1,2,2,1,2,2,2,2,30,NA,1,1,2,1,1,1,1,1,44533,2021
1,4,2,2,2,1,2,2,30,NA,1,1,1,1,1,1,1,1,12537,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,1,29898,2021
3,4,2,2,1,2,2,2,30,NA,2,2,2,2,1,1,1,1,12493,2021
4,4,2,2,2,1,2,2,60,NA,1,2,1,1,1,1,1,1,17117,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,17365,2021
60,1,2,1,2,2,2,2,120,NA,1,1,2,1,1,1,1,1,35640,2021
3,2,2,1,2,2,2,2,10,NA,1,1,1,1,1,1,1,1,21324,2021
2,4,2,2,2,1,2,2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,29561,2021
4,4,2,2,2,1,2,2,60,NA,2,1,1,1,1,1,1,1,14071,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,14665,2021
1,1,2,2,1,2,2,2,10,NA,NA,NA,NA,1,2,2,2,2,7354,2021
1,3,2,1,2,2,2,2,60,NA,2,1,1,1,1,1,1,1,18401,2021
2,4,2,2,2,1,2,2,30,NA,NA,NA,NA,NA,1,1,1,1,14958,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,15397,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,16367,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,NA,NA,NA,13804,2021
7,2,2,1,2,2,2,2,120,NA,1,1,1,1,2,2,2,2,5702,2021
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,1,1,1,1,1,13975,2021
1,4,2,2,1,2,2,2,30,NA,2,1,1,1,1,1,1,1,12608,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,2,2,2,2,29129,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,20694,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,20589,2021
4,4,2,2,2,1,2,2,120,NA,2,2,2,1,2,2,2,2,17469,2021
2,3,1,2,2,2,2,2,25,NA,2,2,1,1,1,1,1,1,10001,2021
1,4,2,2,2,2,1,2,40,NA,1,1,2,1,2,1,2,1,26260,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,2,1,1,1,1,1,1,27368,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,1,1,1,2,2,37752,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,1,1,6785,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,1,1,1,8679,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,1,2,1,2,2,8679,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,1,2,1,15036,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,2,2,1,2,1,2,1,7313,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,1,2,2,17441,2021
1,4,2,2,2,1,2,2,60,NA,2,2,2,2,1,1,1,1,35804,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,NA,1,15730,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,2,2,2,2,2,10004,2021
4,4,2,2,2,2,1,2,45,NA,2,1,1,1,1,1,1,1,24520,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,2,2,14196,2021
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,2,1,1,1,1,1,8493,2021
1,5,2,2,1,2,2,2,130,NA,2,2,2,2,2,2,2,1,6137,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,1,1,2,2,2,2,13621,2021
3,2,2,1,2,1,2,2,120,NA,2,2,2,1,1,1,1,1,20071,2021
4,4,2,1,2,2,1,2,40,NA,2,1,2,1,1,1,1,2,40141,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,1,2,1,2,1,8410,2021
2,4,2,1,2,1,2,2,35,NA,1,1,1,1,1,1,1,1,43143,2021
4,4,2,2,1,2,2,2,30,NA,2,1,1,1,1,1,1,1,24838,2021
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,1,1,1,1,1,1,13965,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,1,1,22607,2021
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,1,1,2,1,1,2,14792,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,2,1,2,2,7603,2021
1,4,2,1,2,2,2,2,30,NA,2,1,2,2,2,1,2,2,15226,2021
1,3,2,2,2,2,1,2,30,NA,1,1,2,1,2,1,1,1,14792,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,2,1,1,1,1,14610,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,NA,NA,2,2,18104,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,2,2,2,2,15183,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,1,1,1,NA,18054,2021
1,4,2,2,2,1,2,2,20,NA,2,2,2,1,2,1,2,2,16771,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,2,2,2,2,14647,2021
25,2,2,1,2,2,2,2,300,NA,1,1,1,1,1,1,1,1,6786,2021
1,4,2,1,2,2,2,2,20,NA,2,1,2,2,1,1,1,2,19054,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,16473,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,2,2,2,30840,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,2,2,2,2,29419,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,NA,1,NA,NA,12220,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,2,2,2,16066,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,12736,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,2,2,24897,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,NA,NA,NA,NA,NA,7618,2021
1,3,2,1,2,2,2,2,30,NA,2,1,1,1,2,2,2,2,7101,2021
NA,NA,NA,NA,NA,NA,NA,NA,120,NA,2,1,1,2,1,1,2,1,18790,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,1,1,1,2,1,1,41558,2021
1,5,2,2,1,2,2,2,40,NA,2,2,2,1,1,1,1,1,15430,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,2,2,16953,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,1,1,2,2,22943,2021
3,6,2,2,2,1,2,2,60,NA,1,1,NA,1,1,1,1,1,41773,2021
1,3,2,1,2,2,2,2,15,NA,1,1,1,1,2,1,2,1,8098,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,19326,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,2,1,13963,2021
3,4,2,2,2,1,2,2,40,NA,1,1,2,1,1,2,1,1,13796,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,1,2,14182,2021
4,4,2,2,2,1,2,2,60,NA,2,1,2,1,2,1,2,2,32807,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,32393,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,1,2,2,15755,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,33625,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,2,2,2,8109,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,2,2,1,1,1,11430,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,1,2,6735,2021
2,6,2,2,2,1,2,2,15,NA,2,2,2,2,1,1,1,2,26176,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,1,2,2,26200,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,13652,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,1,23638,2021
3,3,2,1,2,1,2,2,30,NA,1,1,1,1,2,2,2,1,16715,2021
3,4,2,2,1,2,2,2,30,NA,1,1,1,1,1,1,1,1,25295,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,1,1,1,2,2,56835,2021
NA,NA,NA,NA,NA,NA,NA,NA,90,NA,1,2,2,1,2,1,1,2,8846,2021
60,4,2,2,2,1,2,2,180,NA,2,2,2,2,1,1,1,1,48973,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,NA,NA,2,2,9817,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,52659,2021
3,3,2,2,2,1,2,2,45,NA,2,2,2,2,2,2,2,2,21229,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,12991,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,2,1,2,12726,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,1,2,13083,2021
12,2,2,1,2,2,2,2,120,NA,2,2,2,1,1,1,1,1,27161,2021
2,6,2,2,2,1,2,2,30,NA,2,2,2,2,1,2,1,1,13100,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,2,2,1,1,1,1,1,13281,2021
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,2,2,1,2,1,2,2,13281,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,2,2,15747,2021
1,4,2,2,1,2,2,2,10,NA,1,1,1,1,1,1,1,1,29457,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,2,7803,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,2,2,39015,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,1,15028,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,2,2,26880,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,2,1,1,29361,2021
6,3,2,1,2,2,2,2,120,NA,1,1,1,1,2,2,1,2,14680,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,1,1,1,1,1,1,21799,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,2,1,1,2,2,14137,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,1,2,16474,2021
6,4,2,2,2,1,1,2,130,NA,1,2,1,1,1,1,1,1,35159,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,2,1,1,1,10830,2021
2,4,2,2,2,1,2,2,30,NA,1,1,2,1,2,1,2,2,16935,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,2,1,1,23701,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,36445,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,2,2,1,1,2,25292,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,2,1,1,1,1,1,1,1,17105,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,2,2,2,13565,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,NA,1,1,18750,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,16529,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,2,2,2,18160,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,2,1,2,1,24577,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,16363,2021
2,4,1,2,2,2,2,2,10,NA,2,1,1,1,1,2,1,1,27812,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,24045,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,1,2,2,16051,2021
NA,NA,NA,NA,NA,NA,NA,NA,120,NA,2,1,2,1,1,1,1,1,16870,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,14604,2021
5,4,2,2,1,2,2,2,60,NA,1,1,1,1,2,2,1,2,16917,2021
5,4,2,2,1,2,2,2,60,NA,1,1,1,2,2,2,1,2,16870,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,22642,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,1,2,2,18272,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,15052,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,2,1,1,1,39040,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,1,2,15417,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,2,2,2,7709,2021
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,2,1,1,1,1,2,8469,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,15283,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,1,2,47165,2021
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,40549,2021
3,4,2,2,1,2,1,2,20,NA,2,1,2,2,1,1,1,1,23516,2021
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,1,2,2,2,2,19031,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,7049,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,7541,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,22621,2021
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,2,2,2,2,2,2,2,6870,2021
4,4,2,2,2,1,2,2,120,NA,2,2,2,1,1,1,1,2,18992,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,2,2,20792,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,2,2,34136,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,2,2,16654,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,2,2,2,8987,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,2,2,20579,2021
1,5,2,2,1,2,2,2,60,NA,2,1,2,1,2,2,2,1,30883,2021
NA,NA,NA,NA,NA,NA,NA,NA,45,NA,1,1,1,1,NA,1,NA,NA,33930,2021
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,1,1,1,1,2,22960,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,NA,NA,NA,NA,22084,2021
2,3,2,2,2,1,1,2,25,NA,1,1,1,1,1,1,1,1,36223,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,15135,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,7577,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,69540,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,NA,2,2,2,2,2,69540,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,2,2,1,27459,2021
2,1,1,1,2,2,2,2,120,NA,2,2,2,1,1,1,1,1,24376,2021
2,4,2,1,2,2,2,2,40,NA,2,2,1,1,1,2,1,1,17360,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,19452,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,1,2,2,2,23063,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,2,16024,2021
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,1,1,1,1,33157,2021
