"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,1,1,1,2,21524,2019
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,1,1,2,2,7940,2019
3,2,2,1,2,1,2,2,60,NA,1,1,1,2,1,1,1,1,24679,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,1,32085,2019
3,4,2,2,1,1,1,2,60,NA,2,2,2,2,2,1,1,1,6825,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,1,1,1,1,1,18885,2019
5,3,2,2,2,1,2,2,80,NA,1,2,1,1,1,1,1,1,18885,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,1,2,1,1,1,1,1,1,7814,2019
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,1,1,27157,2019
3,2,2,1,2,2,2,2,15,NA,1,1,1,1,1,1,2,2,28100,2019
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,2,2,2,2,17417,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2,1,1,1,1,1,1,1,15608,2019
2,1,2,1,2,2,2,2,60,NA,1,1,1,1,1,1,1,1,18081,2019
4,4,2,2,1,1,2,2,40,NA,1,1,1,1,1,1,1,1,8268,2019
6,4,2,2,2,1,2,2,60,NA,2,1,1,1,2,2,2,2,15511,2019
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2,1,1,1,1,1,1,1,33403,2019
5,3,2,2,1,1,2,2,60,NA,2,1,1,2,1,1,1,2,5815,2019
1,5,2,2,1,2,2,2,60,NA,2,2,2,2,2,2,2,2,31851,2019
1,4,2,1,2,2,2,2,30,NA,2,1,1,1,1,1,2,2,14882,2019
